"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"10/05/2026 07:15 - 10/05/2026 07:30","BZN|DE-LU","39404.47","41741.37"
"10/05/2026 07:30 - 10/05/2026 07:45","BZN|DE-LU","40229.22","42608.26"
"10/05/2026 07:45 - 10/05/2026 08:00","BZN|DE-LU","41132.76","43994.31"
"10/05/2026 08:00 - 10/05/2026 08:15","BZN|DE-LU","40682.86","43682.94"
"10/05/2026 08:15 - 10/05/2026 08:30","BZN|DE-LU","41193.28","44574.10"
"10/05/2026 08:30 - 10/05/2026 08:45","BZN|DE-LU","42077.87","45311.59"
"10/05/2026 08:45 - 10/05/2026 09:00","BZN|DE-LU","42489.51","45484.93"
"10/05/2026 09:00 - 10/05/2026 09:15","BZN|DE-LU","42484.65","45961.80"
"10/05/2026 09:15 - 10/05/2026 09:30","BZN|DE-LU","43361.18","46662.45"
"10/05/2026 09:30 - 10/05/2026 09:45","BZN|DE-LU","44039.80","47360.88"
"10/05/2026 09:45 - 10/05/2026 10:00","BZN|DE-LU","44065.03","47418.27"
"10/05/2026 10:00 - 10/05/2026 10:15","BZN|DE-LU","44700.42","47996.49"
"10/05/2026 10:15 - 10/05/2026 10:30","BZN|DE-LU","44980.97","48412.39"
"10/05/2026 10:30 - 10/05/2026 10:45","BZN|DE-LU","44443.88","48500.03"
"10/05/2026 10:45 - 10/05/2026 11:00","BZN|DE-LU","43862.31","49007.05"
"10/05/2026 11:00 - 10/05/2026 11:15","BZN|DE-LU","44383.99","49901.66"
"10/05/2026 11:15 - 10/05/2026 11:30","BZN|DE-LU","44552.76","49109.84"
"10/05/2026 11:30 - 10/05/2026 11:45","BZN|DE-LU","44516.84","48854.67"
"10/05/2026 11:45 - 10/05/2026 12:00","BZN|DE-LU","44366.35","49309.60"
"10/05/2026 12:00 - 10/05/2026 12:15","BZN|DE-LU","44047.94","49363.15"
"10/05/2026 12:15 - 10/05/2026 12:30","BZN|DE-LU","44027.76","48293.92"
"10/05/2026 12:30 - 10/05/2026 12:45","BZN|DE-LU","43581.21","48384.39"
"10/05/2026 12:45 - 10/05/2026 13:00","BZN|DE-LU","43267.01","48113.37"
"10/05/2026 13:00 - 10/05/2026 13:15","BZN|DE-LU","41968.71","47203.88"
"10/05/2026 13:15 - 10/05/2026 13:30","BZN|DE-LU","41769.73","47804.08"
"10/05/2026 13:30 - 10/05/2026 13:45","BZN|DE-LU","41689.60","47748.90"
"10/05/2026 13:45 - 10/05/2026 14:00","BZN|DE-LU","41522.75","46986.09"
"10/05/2026 14:00 - 10/05/2026 14:15","BZN|DE-LU","40709.50","46921.94"
"10/05/2026 14:15 - 10/05/2026 14:30","BZN|DE-LU","40514.07","46775.08"
"10/05/2026 14:30 - 10/05/2026 14:45","BZN|DE-LU","39965.40","47354.00"
"10/05/2026 14:45 - 10/05/2026 15:00","BZN|DE-LU","39832.27","46956.95"
"10/05/2026 15:00 - 10/05/2026 15:15","BZN|DE-LU","39459.50","47229.70"
"10/05/2026 15:15 - 10/05/2026 15:30","BZN|DE-LU","39583.68","46689.83"
"10/05/2026 15:30 - 10/05/2026 15:45","BZN|DE-LU","39446.27","46754.47"
"10/05/2026 15:45 - 10/05/2026 16:00","BZN|DE-LU","39048.94","46558.93"
"10/05/2026 16:00 - 10/05/2026 16:15","BZN|DE-LU","39839.72","46810.90"
"10/05/2026 16:15 - 10/05/2026 16:30","BZN|DE-LU","39292.79","46839.51"
"10/05/2026 16:30 - 10/05/2026 16:45","BZN|DE-LU","39075.23","46801.63"
"10/05/2026 16:45 - 10/05/2026 17:00","BZN|DE-LU","39452.16","46943.82"
"10/05/2026 17:00 - 10/05/2026 17:15","BZN|DE-LU","40264.77","47851.02"
"10/05/2026 17:15 - 10/05/2026 17:30","BZN|DE-LU","41325.36","47955.82"
"10/05/2026 17:30 - 10/05/2026 17:45","BZN|DE-LU","42519.94","48067.68"
"10/05/2026 17:45 - 10/05/2026 18:00","BZN|DE-LU","43604.22","48525.76"
"10/05/2026 18:00 - 10/05/2026 18:15","BZN|DE-LU","45239.32","49187.15"
"10/05/2026 18:15 - 10/05/2026 18:30","BZN|DE-LU","45618.85","49460.58"
"10/05/2026 18:30 - 10/05/2026 18:45","BZN|DE-LU","46321.66","49773.89"
"10/05/2026 18:45 - 10/05/2026 19:00","BZN|DE-LU","46485.48","50040.83"
"10/05/2026 19:00 - 10/05/2026 19:15","BZN|DE-LU","48270.62","50503.06"
"10/05/2026 19:15 - 10/05/2026 19:30","BZN|DE-LU","48536.92","50504.76"
"10/05/2026 19:30 - 10/05/2026 19:45","BZN|DE-LU","49086.69","50577.10"
"10/05/2026 19:45 - 10/05/2026 20:00","BZN|DE-LU","49410.18","50559.96"
"10/05/2026 20:00 - 10/05/2026 20:15","BZN|DE-LU","49839.63","50302.91"
"10/05/2026 20:15 - 10/05/2026 20:30","BZN|DE-LU","49051.22","50121.49"
"10/05/2026 20:30 - 10/05/2026 20:45","BZN|DE-LU","48439.32","50060.91"
"10/05/2026 20:45 - 10/05/2026 21:00","BZN|DE-LU","48088.25","49754.22"
"10/05/2026 21:00 - 10/05/2026 21:15","BZN|DE-LU","48413.06","49510.89"
"10/05/2026 21:15 - 10/05/2026 21:30","BZN|DE-LU","48334.20","49003.58"
"10/05/2026 21:30 - 10/05/2026 21:45","BZN|DE-LU","48457.24","48632.06"
"10/05/2026 21:45 - 10/05/2026 22:00","BZN|DE-LU","47963.28","48240.22"
"10/05/2026 22:00 - 10/05/2026 22:15","BZN|DE-LU","46898.58","47919.15"
"10/05/2026 22:15 - 10/05/2026 22:30","BZN|DE-LU","46197.33","47474.28"
"10/05/2026 22:30 - 10/05/2026 22:45","BZN|DE-LU","45894.56","47025.17"
"10/05/2026 22:45 - 10/05/2026 23:00","BZN|DE-LU","44845.47","46545.34"
"10/05/2026 23:00 - 10/05/2026 23:15","BZN|DE-LU","44602.42","45993.66"
"10/05/2026 23:15 - 10/05/2026 23:30","BZN|DE-LU","44131.31","45579.95"
"10/05/2026 23:30 - 10/05/2026 23:45","BZN|DE-LU","43475.49","45106.93"
"10/05/2026 23:45 - 11/05/2026 00:00","BZN|DE-LU","42904.02","44626.89"
